DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,1,43.67245657568238,IBK,GREEDY_BACKWARD_SEARCH,NONE,NONE,NaN,0.0,0.6585023915553356,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,NaN,0.0,0.6452663697839354,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,NaN,0.0,0.6585023915553356,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,BEST_FIRST,NONE,NONE,NaN,0.0,0.6585023915553356,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,BEST_FIRST,OVERSAMPLING,NONE,NaN,0.0,0.6452663697839354,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,BEST_FIRST,UNDERSAMPLING,NONE,NaN,0.0,0.6585023915553356,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,NONE,NONE,NONE,NaN,0.0,0.5015668810819727,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,NONE,OVERSAMPLING,NONE,NaN,0.0,0.5803232723074385,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,IBK,NONE,UNDERSAMPLING,NONE,NaN,0.0,0.5015668810819727,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,2,56.44257703081232,IBK,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.14285714285714285,0.016666666666666666,0.5635458167330677,-0.010901635245287066,1.0,6.0,245.0,59.0
