VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,235,137,58.75,98,94,24.5,139,137,34.75,0,4,2,False
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,340,252,68.0,96,64,19.2,262,252,52.4,0,5,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1246,545,89.0,220,81,15.714285714285714,1026,545,73.28571428571429,0,14,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,121,81,40.333333333333336,29,29,9.666666666666666,92,81,30.666666666666668,0,3,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,195,168,48.75,15,12,3.75,180,168,45.0,0,4,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,633,487,70.33333333333333,162,104,18.0,551,487,61.22222222222222,0,9,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,210,124,42.0,6,2,1.2,204,124,40.8,0,5,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,621,536,88.71428571428571,70,26,10.0,557,536,79.57142857142857,0,7,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,168,133,33.6,19,14,3.8,149,133,29.8,0,5,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,164,151,54.666666666666664,7,6,2.3333333333333335,157,151,52.333333333333336,0,3,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,147,147.0,0,0,0.0,147,147,147.0,0,1,1,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,269,126,53.8,132,113,26.4,141,126,28.2,0,5,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,280,249,70.0,9,8,2.25,271,249,67.75,0,4,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1040,410,115.55555555555556,492,401,54.666666666666664,548,410,60.888888888888886,0,9,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,931,714,155.16666666666666,203,121,33.833333333333336,882,714,147.0,0,6,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,212,204,53.0,7,4,1.75,205,204,51.25,0,4,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,53,50,26.5,3,3,1.5,50,50,25.0,0,2,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,207,184,41.4,22,16,4.4,185,184,37.0,0,5,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,66,61,22.0,5,4,1.6666666666666667,61,61,20.333333333333332,0,3,3,True
