DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,0.0,0.8719262295081968,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,NaN,0.0,0.7745901639344263,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,NaN,0.0,0.8719262295081968,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,NaN,0.0,0.8719262295081968,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,NONE,NONE,NaN,0.0,0.8719262295081968,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,NaN,0.0,0.7745901639344263,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,NaN,0.0,0.8719262295081968,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,NaN,0.0,0.8719262295081968,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,NONE,NONE,NaN,0.0,0.5973360655737705,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,OVERSAMPLING,NONE,NaN,0.0,0.5163934426229508,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,SMOTE,NONE,NaN,0.0,0.5973360655737705,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,488.0,1.0
SYNCOPE,1,49.94882292732856,IBK,NONE,UNDERSAMPLING,NONE,NaN,0.0,0.5973360655737705,0.0,0.0,0.0,488.0,1.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,0.0,0.5982817869415807,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
